Date,Open,High,Low,Close,Adj_Close,Volume
10-Apr-25,260.03,262.49,252.8,255.95,255.95,"39,492,622"
9-Apr-25,224.69,274.69,223.88,272.2,272.2,"218,067,600"
8-Apr-25,245,250.44,217.8,221.86,221.86,"171,603,500"
7-Apr-25,223.78,252,214.25,233.29,233.29,"183,453,800"
4-Apr-25,255.38,261,236,239.43,239.43,"181,229,400"
3-Apr-25,265.29,276.3,261.51,267.28,267.28,"136,174,300"
2-Apr-25,254.6,284.99,251.27,282.76,282.76,"212,787,800"
1-Apr-25,263.8,277.45,259.25,268.46,268.46,"146,486,900"
31-Mar-25,249.31,260.56,243.36,259.16,259.16,"134,008,900"
28-Mar-25,275.58,276.1,260.57,263.55,263.55,"123,809,400"
27-Mar-25,272.48,291.85,271.82,273.13,273.13,"162,572,100"
26-Mar-25,282.66,284.9,266.51,272.06,272.06,"153,629,800"
25-Mar-25,283.6,288.2,271.28,288.14,288.14,"150,361,500"
24-Mar-25,258.08,278.64,256.33,278.39,278.39,"169,079,900"
21-Mar-25,234.99,249.52,234.55,248.71,248.71,"132,728,700"
20-Mar-25,233.35,238,230.05,236.26,236.26,"99,028,300"
19-Mar-25,231.61,241.41,229.2,235.86,235.86,"111,993,800"
18-Mar-25,228.16,230.1,222.28,225.31,225.31,"111,477,600"
17-Mar-25,245.06,245.4,232.8,238.01,238.01,"111,900,600"
14-Mar-25,247.31,251.58,240.73,249.98,249.98,"100,242,300"
13-Mar-25,248.13,248.29,232.6,240.68,240.68,"114,813,500"
12-Mar-25,247.22,251.84,241.1,248.09,248.09,"142,215,700"
11-Mar-25,225.31,237.06,217.02,230.58,230.58,"174,896,400"
10-Mar-25,252.54,253.37,220,222.15,222.15,"189,076,900"
7-Mar-25,259.32,266.25,250.73,262.67,262.67,"102,369,600"
6-Mar-25,272.06,272.65,260.02,263.45,263.45,"98,451,600"
5-Mar-25,272.92,279.55,267.71,279.1,279.1,"94,042,900"
